boundary_scope,primary_biome,metric,analysis_window,from_t0,from_t1,to_t0,to_t1,contains_diagnostic_interval,from_stage,to_stage,cells,source_cells,source_transition_fraction
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_high,positive_high,49,175,0.28000000000000003
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_high,positive_low,11,175,0.062857142857142861
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_high,positive_moderate,115,175,0.65714285714285714
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_low,positive_high,18,1693,0.010632014176018901
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_low,positive_low,814,1693,0.48080330773774366
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_low,positive_moderate,303,1693,0.1789722386296515
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_low,zero,558,1693,0.32959243945658595
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_moderate,positive_high,98,1196,0.08193979933110368
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_moderate,positive_low,344,1196,0.28762541806020064
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_moderate,positive_moderate,699,1196,0.58444816053511706
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,positive_moderate,zero,55,1196,0.045986622073578592
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,zero,positive_high,4,11149,0.00035877657188985562
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,zero,positive_low,789,11149,0.070768678805274016
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,zero,positive_moderate,123,11149,0.01103237958561306
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2010,2015,2015,2020,0,zero,zero,10233,11149,0.9178401650372231
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_high,positive_high,50,169,0.29585798816568049
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_high,positive_low,10,169,0.059171597633136092
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_high,positive_moderate,109,169,0.6449704142011834
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_low,positive_high,13,1958,0.0066394279877425941
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_low,positive_low,939,1958,0.47957099080694587
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_low,positive_moderate,314,1958,0.16036772216547499
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_low,zero,692,1958,0.35342185903983658
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_moderate,positive_high,49,1240,0.039516129032258061
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_moderate,positive_low,326,1240,0.26290322580645159
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_moderate,positive_moderate,800,1240,0.64516129032258063
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,positive_moderate,zero,65,1240,0.052419354838709679
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,2015,2020,2020,2025,1,zero,positive_high,2,10846,0.00018439977872026554
